Sender,CreationDateTime,RefType RefNumber,RefNumber2,EventType,EventDateTime,SignedBy,Remarks,Damage,Pieces,Lat,Lon,LocCode,LocCountry
ZBOT_DHL.001,2024-09-20T01:26:34-06:00,CN,HLBU1915547,MEXA40853,APT,2024-08-14T23:00:00-06:00,ZBOT_DHL.001,,,1,,,,MX
ZBOT_DHL.001,2024-09-20T01:26:40-06:00,CN,HLBU1756342,DZI360877,APT,2024-08-28T04:02:00-06:00,ZBOT_DHL.001,,,1,,,,MX
ZBOT_DHL.001,2024-09-20T01:26:47-06:00,CN,CAAU2298505,DZI360877,APT,2024-08-28T04:02:00-06:00,ZBOT_DHL.001,,,1,,,,MX
ZBOT_DHL.001,2024-09-20T01:26:53-06:00,CN,HAMU1406200,MEXA41014,APT,2024-09-04T12:55:00-06:00,ZBOT_DHL.001,,,1,,,,MX
ZBOT_DHL.001,2024-09-20T01:27:00-06:00,CN,TEMU7304720,QROA00034,APT,2024-08-15T15:19:00-06:00,ZBOT_DHL.001,,,1,,,,MX
ZBOT_DHL.001,2024-09-20T01:27:06-06:00,CN,FCIU6512350,MEXA41159,APT,2024-08-31T15:13:00-06:00,ZBOT_DHL.001,,,1,,,,MX
ZBOT_DHL.001,2024-09-20T01:27:13-06:00,CN,HLBU1805853,MEXA41210,APT,2024-08-31T15:12:00-06:00,ZBOT_DHL.001,,,1,,,,MX
ZBOT_DHL.001,2024-09-20T01:27:19-06:00,CN,HAMU1676890,GDLA07998,APT,2024-09-03T18:13:00-06:00,ZBOT_DHL.001,,,1,,,,MX
ZBOT_DHL.001,2024-09-20T01:27:26-06:00,CN,HLBU9322044,MEXA41349,APT,2024-09-06T19:01:00-06:00,ZBOT_DHL.001,,,1,,,,MX
ZBOT_DHL.001,2024-09-20T01:27:33-06:00,CN,HLBU9863706,MEXA41350,APT,2024-09-06T19:02:00-06:00,ZBOT_DHL.001,,,1,,,,MX
ZBOT_DHL.001,2024-09-20T01:27:39-06:00,CN,HAMU1789670,MEXA41382,APT,2024-09-06T13:44:00-06:00,ZBOT_DHL.001,,,1,,,,MX
ZBOT_DHL.001,2024-09-20T01:27:46-06:00,CN,HLBU3181864,SZXC39167,APT,2024-09-04T23:16:00-06:00,ZBOT_DHL.001,,,1,,,,MX
ZBOT_DHL.001,2024-09-20T01:27:52-06:00,CN,HLXU8619267,SZXC39167,APT,2024-08-15T00:05:00-06:00,ZBOT_DHL.001,,,1,,,,MX
