Sender,CreationDateTime,RefType RefNumber,RefNumber2,EventType,EventDateTime,SignedBy,Remarks,Damage,Pieces,Lat,Lon,LocCode,LocCountry
ZBOT_DHL.001,2024-09-21T02:32:10-06:00,CN,UACU8381580,BKKB90097,POD,2024-09-18T18:26:00-06:00,ZBOT_DHL.001,,,1,,,,MX
ZBOT_DHL.001,2024-09-21T02:32:17-06:00,CN,HLBU3517305,BKKC07466,POD,2024-09-18T18:26:00-06:00,ZBOT_DHL.001,,,1,,,,MX
ZBOT_DHL.001,2024-09-21T02:32:30-06:00,CN,FDCU0038916,BFEA09885,POD,2024-08-08T13:18:00-06:00,ZBOT_DHL.001,,,1,,,,MX
ZBOT_DHL.001,2024-09-21T02:32:37-06:00,CN,DFSU6614993,BFEA09886,POD,2024-08-08T13:18:00-06:00,ZBOT_DHL.001,,,1,,,,MX
ZBOT_DHL.001,2024-09-21T02:32:43-06:00,CN,SLSU8059120,HKGC23257,POD,2024-08-30T00:40:00-06:00,ZBOT_DHL.001,,,1,,,,MX
ZBOT_DHL.001,2024-09-21T02:33:44-06:00,CN,CAIU2676871,SGNA85640,POD,2024-09-12T12:03:00-06:00,ZBOT_DHL.001,,,1,,,,MX
ZBOT_DHL.001,2024-09-21T02:33:51-06:00,CN,UACU3807605,SGNA85774,POD,2024-09-12T12:03:00-06:00,ZBOT_DHL.001,,,1,,,,MX
ZBOT_DHL.001,2024-09-21T02:34:24-06:00,CN,HAMU1970225,SHAG40494,POD,2024-09-10T13:21:00-06:00,ZBOT_DHL.001,,,1,,,,MX
ZBOT_DHL.001,2024-09-21T02:34:31-06:00,CN,HAMU1970170,SHAG40494,POD,2024-08-06T11:06:00-06:00,ZBOT_DHL.001,,,1,,,,MX
ZBOT_DHL.001,2024-09-21T02:34:37-06:00,CN,HAMU1969902,SHAG40498,POD,2024-09-07T13:54:00-06:00,ZBOT_DHL.001,,,1,,,,MX
ZBOT_DHL.001,2024-09-21T02:35:44-06:00,CN,TEMU8679151,SZXC47830,POD,2024-09-18T18:04:00-06:00,ZBOT_DHL.001,,,1,,,,MX
ZBOT_DHL.001,2024-09-21T02:35:51-06:00,CN,FFAU2867251,SZXC47830,POD,2024-09-18T18:03:00-06:00,ZBOT_DHL.001,,,1,,,,MX
ZBOT_DHL.001,2024-09-21T02:35:58-06:00,CN,BMOU4955900,SZXC47830,POD,2024-09-18T18:16:00-06:00,ZBOT_DHL.001,,,1,,,,MX
ZBOT_DHL.001,2024-09-21T02:36:05-06:00,CN,AMFU8940710,SZXC47830,POD,2024-09-18T18:15:00-06:00,ZBOT_DHL.001,,,1,,,,MX
ZBOT_DHL.001,2024-09-21T02:36:11-06:00,CN,UACU5852305,SZXC47830,POD,2024-09-18T18:26:00-06:00,ZBOT_DHL.001,,,1,,,,MX
ZBOT_DHL.001,2024-09-21T02:36:25-06:00,CN,UACU6020465,SZXC56465,POD,2024-09-18T15:07:00-06:00,ZBOT_DHL.001,,,1,,,,MX
ZBOT_DHL.001,2024-09-21T02:36:38-06:00,CN,FSCU7154590,ZSNA73830,POD,2024-09-07T11:59:00-06:00,ZBOT_DHL.001,,,1,,,,MX
ZBOT_DHL.001,2024-09-21T02:36:58-06:00,CN,HLXU8009270,SZXC57696,POD,2024-09-20T22:45:00-06:00,ZBOT_DHL.001,,,1,,,,MX
ZBOT_DHL.001,2024-09-21T02:37:05-06:00,CN,HLBU1615684,SZXC57696,POD,2024-09-14T13:39:00-06:00,ZBOT_DHL.001,,,1,,,,MX
ZBOT_DHL.001,2024-09-21T02:37:12-06:00,CN,TGBU5185319,SZXC57696,POD,2024-09-20T22:48:00-06:00,ZBOT_DHL.001,,,1,,,,MX
ZBOT_DHL.001,2024-09-21T02:37:25-06:00,CN,HLXU8170052,SZXC58334,POD,2024-09-18T15:06:00-06:00,ZBOT_DHL.001,,,1,,,,MX
