DATETIME,LEVEL,MODULE,TRANSACTION,MESSAGE,SCREENSHOOT
30/11/2024 03:30:37 p. m.,Info,Framework_InitializeAllSettings,NA,"Initialization was successful, the project folders have been created/cleaned, the configuration file was read and the log and output file of the current execution was created.",NA
30/11/2024 03:30:46 p. m.,Info,Main,NA,Username [franc] starts the [DHL.002 - Airline Event Capture] process on the [FRANK-00] machine.,NA
